rubygem_id,gem_downloads
16039,24130
16040,15470
16041,5787
16042,14225
16043,5765
16044,10371
16045,108260
16046,5819
16047,5731
16048,14292
16049,10190
16050,39837
16051,6063
16052,132971
16053,32431
16054,37243
16055,61637
16056,1436375
16057,30101177
16058,10774
16059,5773
16060,5775
16061,15016
16062,10109
16063,8938
16064,6117
16065,6825
16066,5707567
16067,19341
16068,9057
16069,357090
16070,7121
16071,28890
16072,23133
16073,5773
16074,86772
16075,10743
16077,46325
16078,8719
16079,10221
16080,5660
16081,27247
16082,23572
16083,84755
16084,10244
16085,23021
16086,31546
16087,23747
16088,69140
16089,295054
16090,16400
16091,10498
16092,18810
16093,53718
16094,55027
16095,26989
16096,10154
16097,82339
16098,16963
16099,86851
16100,5687
16101,18608
16102,22966
16103,14239
16104,18728
16105,10758
16106,11942
16107,52478
16108,429324022
16109,20241
16110,5907
16111,421678
16112,779915
16113,13424
16114,42233
16115,7611
16116,14539
16117,96349
16118,61012
16119,10121
16120,35605
16121,5359153
16122,143350
16123,5737
16124,83842
16125,42169015
16126,10394
16127,71229
16128,24925
16129,10250
16130,573186
16131,27266
16132,12029
16133,22756
16134,23269
16135,52376
16136,5795
16137,15534
16138,80519
16139,23191
16140,32695
16142,135236
16143,534710
16144,19150
16145,27156
16146,1760848
16147,3259989
16148,92209
16149,10296
16150,18566
16151,28169
16152,18438
16153,10051
16154,5999
16155,63007
16156,434721533
16157,5833
16158,3897042
16159,71444
16160,10082
16161,45555
16162,157675
16163,36625
16164,47147
16165,31702
16166,18969
16167,1128600
16168,15221
16169,188011
16170,14398
16171,40131
16172,10182
16173,14481
16174,27288
16175,14357
16176,14359
16177,36373
16178,24661
16179,21705
16180,41970
16181,4443633
16182,294396
16183,33006608
16184,41483977
16185,14580
16186,17525
16187,14470
16188,10326
16189,14533
16190,5755
16191,18781
16192,73622318
16193,17568
16194,25119
16195,20443
16196,162264
16197,15458925
16198,15699
16199,5689
16200,18520609
16201,6116
16202,75657
16203,204040
16204,6177
16205,13002
16206,28182
16207,14419
16208,10633
16209,15974
16210,69617
16211,5815
16212,14505
16213,64180
16214,5925
16215,5855
16216,5769
16217,225092
16218,6029
16220,5899
16221,26819
16222,5831
16223,10520
16224,21118
16225,332027
16226,41826
16227,121171
16228,2018794
16229,30421
16230,32679
16231,3890542
16232,12764
16233,32790
16234,10441
16235,978257
16236,160074
16237,24828
16239,15259
16240,9401
16241,5981
16242,9673
16243,466044
16244,5897
16245,5801
16246,23071
16247,97455
16248,7516589
16249,116575097
16250,48640
16251,6039
16252,1003197
16253,67190
16254,9500
16255,9610
16256,35734
16257,5799
16258,14394
16259,7593
16260,10544
16261,566701
16262,19270
16264,95424
16265,5999
16266,23620
16267,10168
16268,118055
16269,4373684
16270,499355
16271,2338648
16272,1835905
16273,14347
16274,6053
16275,40925
16276,271200
16277,32585
16278,21098
16279,26908
16280,26530
16281,3939005
16282,6595108
16283,4106616
16284,4263559
16285,178860
16286,21353
16287,5965
16288,10928
16289,5919
16290,38168
16291,4490
16293,43734400
16294,20202
16295,303481
16296,10404
16297,81986
16298,428477
16299,25036
16300,64455
16301,77332
16302,4161
16303,27688
16304,103757
16305,5887
16306,59949
16307,6007
16308,24009
16309,5807
16310,164211918
16311,53421
16312,40572
16313,10184
16314,21496
16315,21403
16316,6535
16317,16613
16318,25231
16319,21559
16320,16562
16321,5719
16322,31580
16323,18802
16324,6615
16325,33155
16326,28954
16327,6577
16328,31622
16329,21654
16330,11568
16331,23069
16332,14553
16333,30198
16334,6583
16335,20086
16336,5821
16337,5817
16338,36477
16339,207341
16340,45216
16341,77587
16342,21374
16343,16440
16344,35911
16345,6477
16346,62227
16347,45082
16348,26509
16349,16492
16350,11506
16351,27239
16352,69631
16353,14497
16354,75410
16355,114161
16356,23689
16357,19958
16358,6231
16359,6819
16360,122331
16361,33029
16362,106647
16363,202727
16364,1016399
16365,429363
16366,23326
16367,169452
16368,14836
16369,41541
16370,2260460
16371,32589
16372,18170808
16373,5771
16374,5869
16375,145351
16376,6052
16377,6067
16378,5883
16379,144703
16380,3218489
16381,199734
16382,216085
16383,246232
16384,67029
16385,5971
16386,7777
16387,10345
16388,76766
16389,5797
16390,8849
16391,11124
16392,422063
16393,85681
16394,40435
16395,10246
16396,122805
16397,75960
16398,5895
16399,106105
16400,203228
16401,5793
16402,69158243
16403,181454
16405,5855
16406,27521
16407,14846
16408,357431
16409,6013
16410,152641
16411,108746
16412,273767
16413,150517
16414,309732
16415,1891837
16416,3582202
16417,4552
16418,3889694
16419,21573064
16420,14778
16421,23472
16422,43888
16423,5947
16424,64999
16425,6191
16426,5783
16427,33075
16428,9047
16429,23742
16430,12818
16431,2752579
16432,37416
16433,365193
16434,1410134
16435,70105
16436,76458
16437,8537
16438,6323
16439,14513
16440,18751
16441,11369
16442,70234
16443,83389
16444,100614
16445,36403
16446,92976
16447,5835
16448,5941
16449,10310
16450,1998483
16451,5809
16452,36437
16453,23290
16454,145521
16455,5707
16456,10428
16457,29588
16458,31005306
16459,14637
16460,5847
16461,6163
16462,668042
16463,31246
16464,29401
16465,14658
16466,29101
16467,48186
16468,105030
16469,15630
16470,6261
16471,5867
16472,28937
16473,278685
16474,26032
